scenario,K,tier,seed,wall_sec,drv_arrival_ia_cv2,drv_arrival_ia_mean_sec,drv_arrival_peak10_over_mean,drv_backlog_max,drv_dispatch_queue_max,drv_ev1_pax_max,drv_ev1_pax_mean,drv_ev1_queue_max,drv_ev1_queue_mean,drv_ev2_pax_ge12_frac,drv_ev2_pax_max,drv_ev2_pax_mean,drv_ev2_queue_max,drv_ev2_queue_mean,drv_evwait_down_p95_sec,drv_evwait_up_p95_sec,drv_fallback_cum_final,drv_fallback_n,drv_floor_mean,drv_n_bike,drv_n_car,drv_n_walk,drv_peds_waiting_max,drv_peds_waiting_mean,drv_rider_wait_max_sec,drv_rider_wait_mean_sec,drv_riders_in_building_max,drv_riders_in_building_mean,drv_share_floor_le5,drv_stairs_share,drv_walked_m_mean,kpi.building.capex_total_krw,kpi.building.cost_per_order_krw,kpi.building.opex_running_krw,kpi.building.opex_running_krw_delivery,kpi.building.opex_running_krw_orderspan,kpi.building.w_ev_mean_all_sec,kpi.building.w_ev_mean_riders_sec,kpi.customer.n_delivered,kpi.customer.n_orders,kpi.customer.n_sla_violations,kpi.customer.sla_violation_rate,kpi.customer.t_e2e_mean_sec,kpi.customer.t_e2e_p95_sec,kpi.elevator.EV1.capacity_violations,kpi.elevator.EV1.mean_passengers_delivery,kpi.elevator.EV1.n_alights,kpi.elevator.EV1.n_boardings,kpi.elevator.EV1.utilization,kpi.elevator.EV1.utilization_delivery,kpi.elevator.EV1.utilization_orderspan,kpi.elevator.EV1.w_ev_mean_sec,kpi.elevator.EV1.w_ev_p95_sec,kpi.elevator.EV2.capacity_violations,kpi.elevator.EV2.mean_passengers_delivery,kpi.elevator.EV2.n_alights,kpi.elevator.EV2.n_boardings,kpi.elevator.EV2.utilization,kpi.elevator.EV2.utilization_delivery,kpi.elevator.EV2.utilization_orderspan,kpi.elevator.EV2.w_ev_mean_sec,kpi.elevator.EV2.w_ev_p95_sec,kpi.elevator.EV3.capacity_violations,kpi.elevator.EV3.mean_passengers_delivery,kpi.elevator.EV3.n_alights,kpi.elevator.EV3.n_boardings,kpi.elevator.EV3.utilization,kpi.elevator.EV3.utilization_delivery,kpi.elevator.EV3.utilization_orderspan,kpi.elevator.EV3.w_ev_mean_sec,kpi.elevator.EV3.w_ev_p95_sec,kpi.elevator.EV4.capacity_violations,kpi.elevator.EV4.mean_passengers_delivery,kpi.elevator.EV4.n_alights,kpi.elevator.EV4.n_boardings,kpi.elevator.EV4.utilization,kpi.elevator.EV4.utilization_delivery,kpi.elevator.EV4.utilization_orderspan,kpi.elevator.EV4.w_ev_mean_sec,kpi.elevator.EV4.w_ev_p95_sec,kpi.pedestrian.ev_wait_mean_sec,kpi.pedestrian.n_completed,kpi.pedestrian.n_in_building_at_end,kpi.pedestrian.n_spawned,kpi.rider.ev_wait_down_mean_sec,kpi.rider.ev_wait_up_mean_sec,kpi.rider.lobby_cost_total_krw,kpi.rider.n_by_mode.elevator,kpi.rider.n_by_mode.stairs,kpi.rider.n_exited,kpi.rider.t_lobby_mean_sec,kpi.rider.t_lobby_p95_sec,kpi.simulation.clock_end_sec,kpi.simulation.clock_start_sec,kpi.simulation.delivery_window_sec,kpi.simulation.orderspan_window_sec,kpi.simulation.ped_window_sec,kpi.simulation.scenario_window,kpi.simulation.terminated_by_cap,kpi.simulation.termination_policy,kpi.simulation.termination_reason,kpi.simulation.ticks,kpi.simulation.wall_span_delivery_sec,kpi.simulation.wall_span_orderspan_sec,kpi.simulation.wall_span_sec,kpi.simulation.warmup.head_sec,kpi.simulation.warmup.lookback_sec,kpi.simulation.warmup.ped_boardings_per_min,kpi.simulation.warmup.peds_at_first_order,kpi.simulation.warmup.peds_waiting_at_first_order,kpi.simulation.warmup.util_at_first_order,kpi.simulation.warmup_sec,kpi.simulation.window_policy
K50_1,50,primary,42,0.7,1.0239,97.22,1.76,28,0,4,0.727,5,0.851,0.0,6,0.734,7,0.843,69.6,57.599999999999994,5,5,6.48,45,5,0,13,2.986,0.0,0.0,9,2.258,0.3,0.1,44.44,0.0,589.6,29479.4,29479.4,29366.1,23.11023622047244,28.7,50,50,0,0.0,1594.86,2304.2,0,0.735746764603008,226,228,0.844571066793289,0.8490731024833857,0.8476879632897988,22.94736842105263,63.64999999999998,0,0.7506121021336132,230,230,0.824628046850269,0.8462749213011542,0.8448641016590187,21.46086956521739,56.54999999999998,0,0.7667016439314446,215,216,0.7841088952200064,0.8083245890171389,0.8065654782915637,24.47222222222222,65.25,0,0.7123119972018188,214,215,0.8095916429249762,0.832109129066107,0.8305683021531945,23.67906976744186,62.29999999999998,22.408575031525853,793,15,808,31.866666666666667,25.533333333333335,29479.4,45,5,50,256.96,344.55,47125.0,40807.0,"[41407.0, 47125.0]","[41407.0, 47073.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6318,5718.0,5666.0,6318.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K50_1,50,primary,7,0.69,1.0239,97.22,1.76,28,0,5,0.773,6,0.895,0.0,4,0.655,4,0.633,63.5,53.25,5,5,6.18,45,5,0,11,2.668,0.0,0.0,9,2.168,0.42,0.08,43.04,0.0,567.1,28356.1,28356.1,28176.1,21.461988304093566,25.184782608695652,50,50,0,0.0,1586.86,2314.0499999999997,0,0.7701668984700973,227,228,0.8054156171284634,0.8139777468706537,0.8139329805996472,23.885964912280702,65.64999999999998,0,0.6535118219749653,203,203,0.7591309823677582,0.7788595271210014,0.7790123456790123,18.763546798029555,53.89999999999998,0,0.6514255910987483,209,209,0.7766057934508817,0.8158901251738526,0.8132275132275132,20.363636363636363,50.599999999999994,0,0.6955841446453408,215,215,0.7651133501259446,0.7958970792767733,0.7948853615520283,22.506976744186048,55.89999999999995,21.03543307086614,762,6,768,32.02173913043478,18.347826086956523,28356.1,46,4,50,247.56,313.4,47159.0,40807.0,"[41407.0, 47159.0]","[41407.0, 47077.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6352,5752.0,5670.0,6352.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K50_1,50,primary,2026,0.69,1.0219,97.22,1.76,28,0,6,0.679,6,0.731,0.0,4,0.63,4,0.651,72.0,62.0,4,4,6.14,46,4,0,11,2.604,0.0,0.0,8,2.127,0.42,0.18,43.84,0.0,560.2,28010.6,28010.6,27803.9,21.497062279670974,26.682926829268293,50,50,0,0.0,1586.64,2329.0,0,0.6781411359724613,216,216,0.7722308892355694,0.7738382099827883,0.7701189643107068,20.962962962962962,65.0,0,0.6366609294320138,203,205,0.7510140405616225,0.7595524956970741,0.7555983205038489,19.88780487804878,56.79999999999998,0,0.6896729776247849,214,217,0.7628705148205929,0.7965576592082616,0.7932120363890833,23.262672811059907,68.39999999999998,0,0.6755593803786575,213,213,0.7828393135725429,0.8010327022375215,0.7979356193142058,21.788732394366196,63.39999999999998,20.818897637795274,762,13,775,28.73170731707317,24.634146341463413,28010.6,41,9,50,245.08,344.4,47217.0,40807.0,"[41407.0, 47217.0]","[41407.0, 47123.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6410,5810.0,5716.0,6410.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K50_2,50,primary,42,0.7,1.2508,98.02,1.8,24,0,4,0.735,5,0.846,0.0,4,0.776,5,0.86,51.19999999999999,51.999999999999986,8,8,6.48,42,7,1,11,3.089,0.0,0.0,8,2.051,0.3,0.1,44.36,0.0,570.0,28498.2,28498.2,28433.8,22.75581395348837,22.677777777777777,50,50,0,0.0,1607.46,2531.7999999999997,0,0.7338642774182844,239,239,0.8699260600573412,0.8767214202754272,0.8761047190261797,22.723849372384937,59.19999999999999,0,0.775012444001991,238,238,0.8171118153010412,0.8369006139040982,0.8360847090211773,22.218487394957982,59.0,0,0.7272274763563962,225,226,0.8149992455107892,0.8410486145677784,0.840253460063365,22.305309734513273,61.5,0,0.805043968807035,242,243,0.8287309491474272,0.8519993363198938,0.8512589628147407,23.732510288065843,61.499999999999886,22.684272300469484,852,7,859,24.08888888888889,21.266666666666666,28498.2,45,5,50,246.64,309.65,47453.0,40826.0,"[41426.0, 47453.0]","[41426.0, 47423.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6627,6027.0,5997.0,6627.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K50_2,50,primary,7,0.71,1.0828,98.02,1.98,24,0,4,0.76,5,0.815,0.0,5,0.668,6,0.73,60.25,52.25,7,7,6.18,43,7,0,12,2.614,0.0,0.0,7,2.031,0.42,0.08,43.48,0.0,570.8,28539.4,28539.4,28348.3,20.943169398907102,23.902173913043477,50,50,0,0.0,1595.88,2567.4999999999995,0,0.7562530652280529,242,242,0.8027393181479827,0.8105280366192578,0.809452736318408,21.94214876033058,60.89999999999998,0,0.6843223802517574,220,221,0.7740062527914248,0.7940166748406081,0.7910447761194029,21.506787330316744,61.0,0,0.6552231486022561,219,220,0.7491439630787554,0.7833905509236554,0.7802653399668324,20.5,58.04999999999998,0,0.7111329082883766,232,232,0.7911269912163168,0.8226254700016348,0.8200663349917081,19.78448275862069,55.44999999999999,20.535365853658536,820,9,829,29.32608695652174,18.47826086956522,28539.4,46,4,50,246.64,308.15,47543.0,40826.0,"[41426.0, 47543.0]","[41426.0, 47456.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6717,6117.0,6030.0,6717.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K50_2,50,primary,2026,0.69,1.0769,98.02,1.98,24,0,4,0.663,4,0.847,0.0,4,0.655,5,0.735,58.0,63.0,7,7,6.14,43,7,0,10,2.882,0.0,0.0,7,1.989,0.42,0.18,44.2,0.0,558.7,27936.7,27936.7,27770.0,22.60762331838565,21.78048780487805,50,50,0,0.0,1595.24,2545.7499999999995,0,0.6662301522344083,224,224,0.8087643464003578,0.8138811589458177,0.8120338140228742,24.589285714285715,64.0,0,0.6503519397610084,212,212,0.7704575942763452,0.7804878048780488,0.7840212166418035,22.03301886792453,58.0,0,0.6734326403666722,229,229,0.7592785810105828,0.7909641512522507,0.7933034974307973,21.43231441048035,57.0,0,0.7042069078408905,227,227,0.7670293635415114,0.7827795056474055,0.7800430963036632,22.374449339207047,65.0,22.637376237623762,808,4,812,25.75609756097561,17.804878048780488,27936.7,41,9,50,241.52,307.15,47535.0,40826.0,"[41426.0, 47535.0]","[41426.0, 47459.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6709,6109.0,6033.0,6709.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_1,100,primary,42,0.94,2.4061,56.73,1.9,51,0,7,0.819,7,1.009,0.0,5,0.894,6,1.043,69.69999999999999,58.24999999999997,5,5,6.26,95,5,0,13,3.234,0.0,0.0,12,3.929,0.36,0.16,43.04,0.0,557.7,55768.3,55768.3,55550.6,24.67488151658768,27.535714285714285,100,100,0,0.0,1664.53,2508.75,0,0.8144540455616653,274,274,0.8834170854271357,0.8911233307148468,0.8935525055857007,24.467153284671532,63.349999999999966,0,0.8945797329143755,275,276,0.8611629576453697,0.8840534171249018,0.8833386530481966,24.692028985507246,64.25,0,0.8053417124901807,253,253,0.8278535534816942,0.8537313432835821,0.8573252473667411,26.09486166007905,72.0,0,0.7646504320502749,251,252,0.8354630294328786,0.8581304006284368,0.8558889243536546,23.456349206349206,70.89999999999998,24.105084745762714,885,5,890,31.80952380952381,23.261904761904763,55768.3,84,16,100,247.19,314.0,47765.0,40800.0,"[41400.0, 47765.0]","[41400.0, 47666.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6965,6365.0,6266.0,6965.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K100_1,100,primary,7,0.94,2.3617,56.73,1.9,52,0,5,0.786,6,0.957,0.0,5,0.781,5,0.976,62.0,62.79999999999998,6,6,5.93,94,6,0,13,3.257,0.0,0.0,11,3.884,0.46,0.11,43.8,0.0,553.1,55308.9,55308.9,55166.7,25.037644787644787,24.97752808988764,100,100,0,0.0,1664.43,2516.35,0,0.7967197602901751,254,256,0.8340296787206455,0.8445040214477212,0.84289356277884,25.25,67.25,0,0.7766913736003785,265,265,0.8227921048840224,0.8467118750985649,0.8451242829827916,24.150943396226417,62.599999999999966,0,0.7822110077274878,257,257,0.820919175911252,0.8607475161646428,0.8604206500956023,23.801556420233464,66.19999999999999,0,0.8277874152341902,258,258,0.8410891802333957,0.8762024917205488,0.875717017208413,26.968992248062015,63.0,24.83859649122807,855,8,863,28.325842696629213,21.629213483146067,55308.9,89,11,100,244.44,309.2,47741.0,40800.0,"[41400.0, 47741.0]","[41400.0, 47676.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6941,6341.0,6276.0,6941.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K100_1,100,primary,2026,0.9,2.3727,56.73,1.9,51,0,6,0.84,7,1.0,0.0,5,0.732,5,1.001,81.55000000000003,61.95,5,5,5.99,95,5,0,13,2.979,0.0,0.0,11,3.899,0.44,0.18,43.08,0.0,554.3,55425.6,55425.6,55336.7,24.086258776328986,26.932926829268293,100,100,0,0.0,1664.35,2500.8,0,0.8373893805309734,260,261,0.8309757505773672,0.8380214917825537,0.8390329250835057,25.122605363984675,72.0,0,0.7311946902654868,244,245,0.7992205542725174,0.8116308470290771,0.8104024176872913,26.706122448979592,72.79999999999998,0,0.7195006321112516,235,237,0.7745381062355658,0.8065739570164349,0.805312549705742,21.936708860759495,62.39999999999998,0,0.7891908975979772,253,254,0.7915704387990762,0.809102402022756,0.8097661841895976,22.5,66.04999999999998,23.584541062801932,828,6,834,31.085365853658537,22.78048780487805,55425.6,82,18,100,245.55,327.1,47728.0,40800.0,"[41400.0, 47728.0]","[41400.0, 47687.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6928,6328.0,6287.0,6928.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_2,100,primary,42,0.96,2.8284,57.76,1.9,48,0,5,0.832,6,1.08,0.0,7,0.813,9,1.025,70.85,73.69999999999999,5,5,6.26,95,5,0,15,3.394,0.0,0.0,12,3.817,0.36,0.16,43.14,0.0,570.7,57072.2,57072.2,56992.2,26.044871794871796,29.922619047619047,100,100,0,0.0,1603.15,2458.3499999999995,0,0.833108006609584,284,285,0.8765330026181618,0.8832807570977917,0.8826283987915408,26.32982456140351,69.0,0,0.8177857893946222,270,271,0.8262367369436406,0.8449752140603876,0.8441087613293051,25.498154981549817,70.0,0,0.8180862250262881,265,265,0.8416701116163704,0.8676581042511642,0.8681268882175227,27.486792452830187,67.0,0,0.8252966801862701,270,271,0.8331266363511093,0.8545891542736969,0.8537764350453172,24.881918819188193,70.5,25.367791077257888,919,10,929,32.857142857142854,26.988095238095237,57072.2,84,16,100,253.08,318.29999999999995,48131.0,40874.0,"[41474.0, 48131.0]","[41474.0, 48094.0]","[40874.0, 52185.0]",True,False,delivery_complete,delivery_complete,7257,6657.0,6620.0,7257.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K100_2,100,primary,7,0.97,2.7657,57.76,1.8,47,0,7,0.846,8,1.013,0.0,5,0.834,6,1.013,73.79999999999998,53.79999999999998,4,4,5.93,96,4,0,12,3.075,0.0,0.0,12,3.702,0.46,0.11,44.04,0.0,553.7,55373.9,55373.9,55271.7,23.919369786839667,25.359550561797754,100,100,0,0.0,1594.66,2480.1499999999996,0,0.8419712402636309,289,290,0.8416712479384277,0.8523067705212702,0.853220696937698,24.486206896551725,66.55000000000001,0,0.8304373876572798,277,277,0.8372732270478285,0.8612941881366087,0.8619701312415146,25.061371841155236,69.19999999999999,0,0.7276812462552427,246,247,0.7772127542605828,0.811114439784302,0.8161110273042691,24.040485829959515,61.0,0,0.7748651887357699,265,265,0.7762506871907642,0.8037747153984421,0.8047971036355408,21.99245283018868,63.0,23.658509454949943,899,8,907,30.0561797752809,20.662921348314608,55373.9,89,11,100,245.91,329.4,48150.0,40874.0,"[41474.0, 48150.0]","[41474.0, 48103.0]","[40874.0, 52185.0]",True,False,delivery_complete,delivery_complete,7276,6676.0,6629.0,7276.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K100_2,100,primary,2026,0.94,2.6898,57.76,1.9,47,0,5,0.732,6,0.884,0.0,5,0.749,6,0.957,73.9,78.70000000000002,4,4,5.99,96,4,0,14,2.984,0.0,0.0,12,3.723,0.44,0.18,43.32,0.0,550.3,55032.2,55032.2,54941.1,24.334970530451866,26.463414634146343,100,100,0,0.0,1598.22,2436.8499999999995,0,0.7391304347826086,247,249,0.7803082905152062,0.7824572034540221,0.781064186613813,24.449799196787147,74.6,0,0.7456445993031359,254,255,0.7776697680877656,0.7876079381911831,0.7903643848147583,25.545098039215688,75.0,0,0.7444326617179216,247,247,0.751145674211915,0.7797303438872898,0.7841134319255985,22.995951417004047,69.0,0,0.7851840630207544,265,267,0.7983613387029579,0.815785487047417,0.8146058850434518,24.310861423220974,69.09999999999997,23.97997644287397,849,12,861,30.329268292682926,22.597560975609756,55032.2,82,18,100,244.61,324.25,48075.0,40874.0,"[41474.0, 48075.0]","[41474.0, 48033.0]","[40874.0, 52185.0]",True,False,delivery_complete,delivery_complete,7201,6601.0,6559.0,7201.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_3,100,primary,42,0.81,0.8587,44.78,1.76,43,0,5,0.856,5,1.139,0.0,6,0.899,6,1.214,80.0,62.849999999999994,3,3,6.26,97,3,0,14,3.499,0.0,0.0,12,4.765,0.36,0.16,43.28,0.0,777.3,77727.2,77727.2,77540.8,27.094874591057795,31.571428571428573,100,100,0,0.0,1308.74,2058.45,0,0.8541316918485358,239,239,0.9213219258513672,0.9347136728222346,0.9363380281690141,26.782426778242677,68.1,0,0.8974072001492259,231,231,0.8621036738802215,0.889386308524529,0.8886384976525822,28.545454545454547,75.5,0,0.8662562954672636,226,227,0.8436503942291562,0.8761425107256109,0.875868544600939,26.277533039647576,68.0,0,0.8515202387614251,219,220,0.8407985237376279,0.8683081514642791,0.867981220657277,26.754545454545454,75.0,26.136729222520106,746,6,752,38.845238095238095,24.297619047619047,77727.2,84,16,100,254.38,334.0,46789.0,40828.0,"[41428.0, 46789.0]","[41428.0, 46753.0]","[40828.0, 52113.0]",True,False,delivery_complete,delivery_complete,5961,5361.0,5325.0,5961.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K100_3,100,primary,7,0.8,0.8806,44.78,1.76,44,0,4,0.835,5,1.04,0.0,5,0.801,6,1.04,61.599999999999994,63.599999999999994,2,2,5.93,98,2,0,13,3.245,0.0,0.0,11,4.58,0.46,0.11,43.94,0.0,750.6,75059.7,75059.7,74968.1,25.778275475923852,26.578651685393258,100,100,0,0.0,1306.47,1942.3999999999996,0,0.8329311304993503,231,231,0.8799064640053449,0.8973454612957119,0.8973114264376401,25.7012987012987,66.0,0,0.7980322999814368,229,229,0.8359779522298313,0.8656023760905884,0.864824495892457,25.305676855895197,61.0,0,0.8056432151475775,221,221,0.8329714381159178,0.8811954705773157,0.883495145631068,26.36651583710407,67.0,0,0.773900129942454,210,212,0.813095039251712,0.8513087061444218,0.8504480955937267,25.75943396226415,59.44999999999999,25.50210378681627,713,9,722,29.764044943820224,23.39325842696629,75059.7,89,11,100,245.65,309.25,46815.0,40828.0,"[41428.0, 46815.0]","[41428.0, 46784.0]","[40828.0, 52113.0]",True,False,delivery_complete,delivery_complete,5987,5387.0,5356.0,5987.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K100_3,100,primary,2026,0.78,0.861,44.78,1.76,43,0,6,0.877,6,1.056,0.0,6,0.778,6,0.98,62.0,64.9,2,2,5.99,98,2,0,12,2.964,0.0,0.0,11,4.6,0.44,0.18,43.32,0.0,751.2,75117.8,75117.8,74980.3,24.293714285714287,28.23170731707317,100,100,0,0.0,1306.61,1979.9999999999995,0,0.8741401747536717,233,234,0.8457936109717344,0.8557352667782115,0.8565535345959122,25.243589743589745,68.39999999999998,0,0.7791411042944786,226,227,0.8208730556949323,0.8378880832868563,0.8364897806112882,24.066079295154186,66.69999999999999,0,0.7109128090723182,204,204,0.7758822545576183,0.8137200223089793,0.8196137258578661,23.82843137254902,63.849999999999994,0,0.7709611451942741,210,210,0.7909349389530022,0.8114891243725599,0.8145509094318395,23.933333333333334,63.099999999999966,23.440056417489423,709,9,718,30.658536585365855,25.804878048780488,75117.8,82,18,100,245.84,327.15,46807.0,40828.0,"[41428.0, 46807.0]","[41428.0, 46761.0]","[40828.0, 52113.0]",True,False,delivery_complete,delivery_complete,5979,5379.0,5333.0,5979.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_4,100,primary,42,0.9,2.2916,54.91,2.6,52,0,6,0.916,6,1.121,0.0,5,0.836,6,1.164,68.85,73.85,6,6,6.26,94,6,0,14,3.688,0.0,0.0,15,4.055,0.36,0.16,43.26,0.0,765.7,76569.2,76569.2,76434.7,27.456479690522244,28.267857142857142,100,100,0,0.0,1346.44,2151.7999999999997,0,0.9092225977788508,279,279,0.8819903126376046,0.8897473040399163,0.8962386511024644,25.985663082437277,72.09999999999997,0,0.832609045549654,266,266,0.8470570967268457,0.8691453404152584,0.8714332036316472,27.428571428571427,72.0,0,0.8226299694189603,252,252,0.8571847937766035,0.8865282472235635,0.8871595330739299,28.916666666666668,75.44999999999999,0,0.7625945597939804,237,237,0.8171143402319095,0.8385643006599066,0.8441958495460441,27.666666666666668,68.39999999999998,27.29907621247113,866,3,869,30.714285714285715,25.821428571428573,76569.2,84,16,100,250.59,315.2,47630.0,40817.0,"[41417.0, 47630.0]","[41417.0, 47585.0]","[40817.0, 52183.0]",True,False,delivery_complete,delivery_complete,6813,6213.0,6168.0,6813.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K100_4,100,primary,7,0.91,2.2563,54.91,2.6,52,0,8,0.815,9,0.974,0.0,5,0.824,6,1.092,60.599999999999994,66.39999999999998,5,5,5.93,95,5,0,14,3.22,0.0,0.0,14,3.982,0.46,0.11,43.98,0.0,757.9,75786.9,75786.9,75603.6,25.08373904576436,26.224719101123597,100,100,0,0.0,1343.38,2155.7499999999995,0,0.8159069174370418,266,267,0.8380855397148677,0.8490596110934013,0.8475776597456945,24.337078651685392,59.0,0,0.8230793751992349,259,261,0.8549607215594995,0.8822123047497609,0.8810558506357637,27.09961685823755,76.0,0,0.779725852725534,246,247,0.8105906313645621,0.8498565508447561,0.8483824239497827,25.76923076923077,61.0,0,0.8154287535862289,252,252,0.8068082630200757,0.8390181702263309,0.8374376307741832,23.115079365079364,61.0,24.775147928994084,845,12,857,29.49438202247191,22.95505617977528,75786.9,89,11,100,248.03,311.54999999999995,47691.0,40817.0,"[41417.0, 47691.0]","[41417.0, 47630.0]","[40817.0, 52183.0]",True,False,delivery_complete,delivery_complete,6874,6274.0,6213.0,6874.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K100_4,100,primary,2026,0.91,1.824,54.91,2.5,52,0,5,0.74,5,0.862,0.0,5,0.751,6,0.896,68.70000000000002,64.95,5,5,5.99,95,5,0,12,2.822,0.0,0.0,13,3.957,0.44,0.18,43.1,0.0,744.5,74454.7,74454.7,74222.5,22.972477064220183,26.804878048780488,100,100,0,0.0,1342.18,2130.2499999999995,0,0.7343447385409941,241,242,0.8016480282519128,0.8060038734667527,0.8114714029656184,22.99586776859504,61.89999999999998,0,0.7475790832795352,254,254,0.8512360211889347,0.8689477081988379,0.8707837705719407,22.594488188976378,62.349999999999994,0,0.7679147837314396,249,249,0.8176868746321365,0.85458360232408,0.8582369235782956,23.140562248995984,68.19999999999999,0,0.7467721110393802,236,236,0.7779576221306651,0.7945448676565526,0.7925696594427245,23.177966101694917,65.0,22.21936274509804,816,5,821,29.865853658536587,23.74390243902439,74454.7,82,18,100,243.67,313.25,47613.0,40817.0,"[41417.0, 47613.0]","[41417.0, 47554.0]","[40817.0, 52183.0]",True,False,delivery_complete,delivery_complete,6796,6196.0,6137.0,6796.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_5,100,primary,42,0.86,1.3832,51.24,1.8,45,0,8,0.899,8,1.222,0.0,4,0.78,5,1.101,82.0,66.39999999999998,0,0,6.26,100,0,0,13,3.644,0.0,0.0,14,4.348,0.36,0.16,42.98,0.0,769.5,76951.1,76951.1,76810.6,27.808121827411167,31.970238095238095,100,100,0,0.0,1371.61,2186.2999999999997,0,0.8965339739190117,253,254,0.8886123210952085,0.8975634866163349,0.8967306694343539,29.244094488188978,65.69999999999999,0,0.7831159917638985,243,243,0.862321095208463,0.8874399450926561,0.8865248226950354,26.71604938271605,65.89999999999998,0,0.8572409059711736,241,241,0.85718730553827,0.8884694577899794,0.8880816467739145,29.116182572614107,69.0,0,0.8774879890185312,247,247,0.8475420037336652,0.873541523678792,0.8725134059851237,26.129554655870447,70.79999999999995,26.95098039215686,816,9,825,38.583333333333336,25.357142857142858,76951.1,84,16,100,251.84,330.34999999999997,47274.0,40846.0,"[41446.0, 47274.0]","[41446.0, 47227.0]","[40846.0, 52184.0]",True,False,delivery_complete,delivery_complete,6428,5828.0,5781.0,6428.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
